fold,model,sensitivity,specificity,ppv,npv,accuracy,auc_roc,tp,tn,fp,fn
1,xgb,0.7078651685393258,0.6588235294117647,0.6847826086956522,0.6829268292682927,0.6839080459770115,0.7620621282220753,63,56,29,26
2,xgb,0.7888888888888889,0.6785714285714286,0.7244897959183674,0.75,0.735632183908046,0.7666666666666667,71,57,27,19
3,xgb,0.7549019607843137,0.6056338028169014,0.7333333333333333,0.6323529411764706,0.6936416184971098,0.700082850041425,77,43,28,25
4,xgb,0.75,0.5846153846153846,0.75,0.5846153846153846,0.6878612716763006,0.7109686609686608,81,38,27,27
5,xgb,0.7,0.589041095890411,0.7,0.589041095890411,0.653179190751445,0.7160273972602739,70,43,30,30
1,lgb,0.7528089887640449,0.6470588235294118,0.6907216494845361,0.7142857142857143,0.7011494252873564,0.788235294117647,67,55,30,22
2,lgb,0.7777777777777778,0.6547619047619048,0.7070707070707071,0.7333333333333333,0.7183908045977011,0.7630952380952382,70,55,29,20
3,lgb,0.7254901960784313,0.6619718309859155,0.7551020408163265,0.6266666666666667,0.6994219653179191,0.7067108533554267,74,47,24,28
4,lgb,0.7129629629629629,0.5076923076923077,0.7064220183486238,0.515625,0.6358381502890174,0.7061253561253562,77,33,32,31
5,lgb,0.67,0.6164383561643836,0.7052631578947368,0.5769230769230769,0.6473988439306358,0.725068493150685,67,45,28,33
1,rf,0.7303370786516854,0.7176470588235294,0.7303370786516854,0.7176470588235294,0.7241379310344828,0.8037012557832122,65,61,24,24
2,rf,0.7888888888888889,0.7261904761904762,0.7553191489361702,0.7625,0.7586206896551724,0.7694444444444445,71,61,23,19
3,rf,0.7254901960784313,0.676056338028169,0.7628865979381443,0.631578947368421,0.7052023121387283,0.7271471969069319,74,48,23,28
4,rf,0.7037037037037037,0.5846153846153846,0.7378640776699029,0.5428571428571428,0.6589595375722543,0.7188034188034188,76,38,27,32
5,rf,0.71,0.6986301369863014,0.7634408602150538,0.6375,0.7052023121387283,0.7431506849315069,71,51,22,29
1,lr,0.7865168539325843,0.6941176470588235,0.7291666666666666,0.7564102564102564,0.7413793103448276,0.8270984798413746,70,59,26,19
2,lr,0.8222222222222222,0.6785714285714286,0.7326732673267327,0.7808219178082192,0.7528735632183908,0.7915343915343915,74,57,27,16
3,lr,0.7745098039215687,0.6197183098591549,0.7452830188679245,0.6567164179104478,0.7109826589595376,0.736122618061309,79,44,27,23
4,lr,0.7314814814814815,0.6,0.7523809523809524,0.5735294117647058,0.6820809248554913,0.7099715099715098,79,39,26,29
5,lr,0.69,0.6712328767123288,0.7419354838709677,0.6125,0.6820809248554913,0.7242465753424657,69,49,24,31
1,svm,0.7528089887640449,0.7294117647058823,0.7444444444444445,0.7380952380952381,0.7413793103448276,0.830403172504957,67,62,23,22
2,svm,0.7555555555555555,0.7142857142857143,0.7391304347826086,0.7317073170731707,0.735632183908046,0.7736772486772486,68,60,24,22
3,svm,0.7352941176470589,0.6197183098591549,0.7352941176470589,0.6197183098591549,0.6878612716763006,0.7433029549848109,75,44,27,27
4,svm,0.6759259259259259,0.7230769230769231,0.8021978021978022,0.573170731707317,0.6936416184971098,0.7055555555555556,73,47,18,35
5,svm,0.74,0.6712328767123288,0.7551020408163265,0.6533333333333333,0.7109826589595376,0.7530821917808219,74,49,24,26
1,ensemble,0.7415730337078652,0.7294117647058823,0.7415730337078652,0.7294117647058823,0.735632183908046,0.8111037673496364,66,62,23,23
2,ensemble,0.7777777777777778,0.7380952380952381,0.7608695652173914,0.7560975609756098,0.7586206896551724,0.7828042328042328,70,62,22,20
3,ensemble,0.7254901960784313,0.647887323943662,0.7474747474747475,0.6216216216216216,0.6936416184971098,0.7264567798950566,74,46,25,28
4,ensemble,0.7129629629629629,0.5846153846153846,0.7403846153846154,0.5507246376811594,0.6647398843930635,0.724074074074074,77,38,27,31
5,ensemble,0.71,0.684931506849315,0.7553191489361702,0.6329113924050633,0.6994219653179191,0.7389041095890411,71,50,23,29
