feature,gain_importance,permutation_importance,combined_importance,type
target_zone_coverage_mean,0.060453400503778336,1.0,0.436272040302267,raw
inter_stroke_cv_min,0.10201511335012595,0.3617021276595738,0.20588991907390508,raw
velocity_mean_session_max_min,0.06297229219143577,0.4042553191489355,0.19948550297443565,raw
zone_transition_rate_mean,0.06423173803526448,0.3617021276595738,0.18321989388498822,raw
color_switches_mean,0.08942065491183879,0.2765957446808508,0.16429069081944359,raw
rep_umap_z7,0.04534005037783375,0.19148936170212702,0.10379977490755106,representation
progress_linearity_max,0.06801007556675064,0.1489361702127654,0.10038051342515655,raw
rep_umap_z16,0.04534005037783375,0.170212765957446,0.09528913660967865,representation
rep_umap_z3,0.0743073047858942,0.10638297872340387,0.08713757436089807,representation
jerk_score_session_max_min,0.036523929471032744,0.14893617021276526,0.08148882576772576,raw
zone_transition_rate_std,0.06926952141057935,0.085106382978723,0.07560426603783682,raw
zone_transition_rate_mean_log,0.022670025188916875,0.1489361702127654,0.0731764831984563,engineered
jerk_score_session_std_mean,0.03526448362720403,0.12765957446808449,0.07222251996355622,raw
progress_linearity_max_log,0.028967254408060455,0.12765957446808465,0.06844418243207014,engineered
velocity_std_session_max_min,0.055415617128463476,0.04255319148936137,0.050270646872822636,raw
velocity_mean_session_max_mean,0.05289672544080604,0.0,0.03173803526448363,raw
velocity_mean_session_std_mean,0.0327455919395466,0.02127659574468075,0.028157993461600257,raw
total_area_covered_max,0.036523929471032744,0.0,0.021914357682619647,raw
total_area_covered_max_log,0.017632241813602016,0.0,0.01057934508816121,engineered
velocity_mean_session_max_mean_log,0.0,0.0,0.0,engineered
