feature,importance
velocity_accuracy_interaction,0.058209130196836066
target_zone_coverage_min,0.05455053346120876
outside_ratio_max,0.04458584629622162
spatial_deficit_score,0.040328458996584535
target_zone_coverage_mean,0.03830562502313107
target_zone_coverage_max,0.03290375763450375
outside_ratio_mean,0.0316856079294924
color_switches_mean,0.028437797661515583
velocity_mean_session_max_min,0.02810807103101869
num_points_mean,0.025400234983853333
progress_linearity_mean,0.02235419433137131
attention_regulation_index,0.02024121017042665
zone_transition_rate_max,0.019815758142990924
total_area_covered_max,0.019471054212530477
inter_stroke_cv_min,0.01853424976587385
avg_plateau_length_min,0.01727729662939895
num_points_max,0.01710987168958773
jerk_score_session_std_min,0.017108748855049
zone_coverage_std_mean,0.017058898064129677
progress_linearity_min,0.01689659790876047
zone_coverage_std_std,0.016778267604552193
outside_ratio_min,0.016656215223355225
zone_transition_rate_mean,0.016621957522054323
total_area_covered_min,0.015972424703071093
zone_coverage_std_max,0.01594789225589425
velocity_mean_session_mean_min,0.015137531904035127
final_completion_mean,0.015112798957047669
velocity_mean_session_mean_mean,0.014479088439714653
pressure_mean_session_mean_max,0.014253376800670424
direction_changes_session_max_max,0.013981691244675763
zone_transition_rate_min,0.013928669810015915
velocity_std_session_std_min,0.013392577522074964
direction_changes_session_std_min,0.013145746484506709
velocity_mean_session_std_mean,0.01307068488694971
jerk_score_session_std_mean,0.012655199487574409
total_area_covered_mean,0.01233076986230929
avg_plateau_length_mean,0.011935259781545325
velocity_std_session_max_min,0.011308387751104551
progress_linearity_max,0.010534318196855812
finger_switch_rate_std,0.010492819137539995
velocity_std_session_mean_mean,0.010222215314124473
jerk_score_session_mean_mean,0.009757158551610688
session_duration_mean,0.00968036411363988
device_stability_session_mean_mean,0.009212292105389961
direction_changes_session_mean_mean,0.009028478455955032
acceleration_std_session_std_min,0.00874449123412872
tremor_ratio_session_mean_mean,0.008637433975777613
jerk_score_session_max_min,0.008604649507701088
color_switch_rate_mean,0.008522155203754624
velocity_mean_session_max_mean,0.008400255266731313
jerk_score_session_max_mean,0.008254479600093598
num_unique_fingers_mean,0.008241328192690509
zone_transition_rate_std,0.007857025365650956
max_finger_id_mean,0.0072569898362776965
pressure_std_session_mean_mean,0.0064998779120683855
acceleration_std_session_mean_mean,0.0061538317608959715
jerk_score_session_mean_min,0.006142951312680087
num_pauses_mean,0.0056394120512618705
num_palm_touches_mean,0.004599134788088824
potential_palm_touches_mean,0.0024268548914464856
