feature,effect_size,rank
target_zone_coverage_min,1.2689430513656488,1
target_zone_coverage_mean,1.2458498511319267,2
outside_ratio_max,1.1816798140755576,3
spatial_deficit_score,1.1762777623007006,4
outside_ratio_mean,1.1762569789569957,5
target_zone_coverage_max,1.140028513296948,6
zone_transition_rate_mean,1.1155122363904029,7
outside_ratio_min,1.0911370626359596,8
velocity_accuracy_interaction,1.062600811227599,9
num_points_mean,1.0246244797560895,10
zone_transition_rate_max,1.0216753776573821,11
zone_coverage_std_mean,0.9561308227403186,12
zone_coverage_std_max,0.9522871442547471,13
avg_plateau_length_min,0.9501787607301154,14
zone_transition_rate_min,0.9243491893851286,15
progress_linearity_mean,0.9166003209452275,16
velocity_mean_session_max_min,0.9042871562184605,17
avg_plateau_length_mean,0.8940402125412945,18
velocity_mean_session_max_mean,0.8652306428053879,19
jerk_score_session_mean_mean,0.8650403896397943,20
velocity_mean_session_mean_mean,0.8578719293770559,21
total_area_covered_max,0.8452981878438938,22
zone_coverage_std_std,0.8311978580824104,23
num_points_max,0.8065601977691729,24
jerk_score_session_max_min,0.8063618845605085,25
progress_linearity_min,0.7856941748283094,26
jerk_score_session_std_min,0.782870535255741,27
total_area_covered_mean,0.7818330122791636,28
velocity_mean_session_std_mean,0.7607311921583868,29
velocity_std_session_max_min,0.7597446724904652,30
jerk_score_session_max_mean,0.7552460392722753,31
acceleration_std_session_std_min,0.7550075166998644,32
velocity_std_session_std_min,0.7391216580563802,33
progress_linearity_max,0.7379145394600769,34
acceleration_std_session_mean_mean,0.7279143408909964,35
velocity_mean_session_mean_min,0.6982622265076347,36
finger_switch_rate_std,0.6937323416881024,37
jerk_score_session_mean_min,0.6874826474652744,38
jerk_score_session_std_mean,0.6784790699493279,39
velocity_std_session_mean_mean,0.6755707997902485,40
direction_changes_session_max_max,0.642240713165423,41
attention_regulation_index,0.6374620574529183,42
direction_changes_session_std_min,0.6094204327045122,43
zone_transition_rate_std,0.6050452313792851,44
total_area_covered_min,0.5945417071162814,45
session_duration_mean,0.5824375158689022,46
final_completion_mean,0.577207913379543,47
direction_changes_session_mean_mean,0.5572449343825032,48
color_switch_rate_mean,0.40104717731637196,49
pressure_mean_session_mean_max,0.3505910415777662,50
num_pauses_mean,0.298333031427079,51
pressure_std_session_mean_mean,0.2899415414737505,52
inter_stroke_cv_min,0.28391595736827957,53
num_unique_fingers_mean,0.282772097998876,54
max_finger_id_mean,0.24270829041480513,55
potential_palm_touches_mean,0.20294183368802834,56
color_switches_mean,0.1801840917928461,57
num_palm_touches_mean,0.1497888462866019,58
tremor_ratio_session_mean_mean,0.07707178419488857,59
device_stability_session_mean_mean,0.05878516849123792,60
